Page_ID,class,Q1_Saltwater_Response,Q1_Sugarwater_Response,Q1_Muddywater_Response,Q1_Ink_Response,Q1_MisoSoup_Response,Q1_SoySauce_Response,Q2_MisoSalty_Reason,Q3_TeaLeavesDissolve,Q3_TeaComponentsDissolve
1,1,True,True,True,False,False,False,しょうゆなどとけでしょっぱくなる。,False,False
2,1,True,True,True,False,False,False,,False,False
3,1,True,True,False,False,False,True,みそが入っているから,True,False
4,1,True,False,False,True,False,True,,False,True
5,1,True,False,False,True,False,True,みそが水にとける,False,True
6,1,True,True,True,True,False,True,,False,True
7,1,True,True,False,False,False,True,,False,True
8,1,True,True,True,False,False,True,みそがはいっているから,False,True
9,1,True,False,False,True,True,True,,False,True
10,1,True,True,False,False,True,True,,False,True
11,1,True,True,False,True,False,False,,False,True
12,1,True,True,False,True,False,False,たぶんみそに塩がはいっているから,False,True
13,1,True,True,False,False,False,False,みそに塩か入っているからです。,False,True
14,1,True,True,False,False,False,False,塩が水に溶,False,True
15,1,True,True,False,False,False,False,はっこうしょくひんだから,False,True
16,1,True,True,True,False,False,False,食分が入っているから,False,True
17,1,True,True,True,True,True,False,,False,True
18,1,True,True,True,True,True,False,,False,True
19,1,True,True,False,False,True,False,,False,True
20,1,True,True,False,False,True,False,みそが入っているから,False,True
21,1,True,True,False,False,True,False,みそがしょっぱい。,False,True
22,1,True,True,False,False,True,False,みそに食塩が入っているから,False,True
23,1,True,True,True,False,True,False,みそがまざっているから,False,True
24,1,True,True,False,False,True,False,?,False,True
1,4,True,True,True,False,False,False,みそしるの中にみそを使っているから みそがしょっぱい!!,false,true
2,4,True,True,True,False,False,False,みそしる中に、はいっているみそがしょっぱくて、そのしょっぱいのを水にととかした物だと思うからです。,false,true
3,4,True,True,False,False,False,True,みそがはいってるから,true,true
4,4,True,False,False,True,False,True,みそのせいぶんのえんみがつよい,false,true
5,4,True,False,False,True,False,True,目に見えない小さい塩のつぶがとけているから。,false,true
6,4,True,True,True,True,False,True,みその中に食塩が入っているから。,false,true
7,4,True,True,False,False,False,True,みそしるに入っている「みそ」に塩が入っているから。,false,true
8,4,True,True,True,False,False,True,塩が入ってるから,false,true
9,4,True,False,False,True,True,True,大豆としょうゆをまぜたものだから,false,true
10,4,True,True,False,False,True,True,みそしるに 入っているみそは 同じ大豆で できているしょうゆが しょっぱいから。,false,true
11,4,True,True,False,True,False,True,みそが入っているから,false,true
12,4,True,True,False,True,False,False,みそが入っていて、みその中に食塩が入っているから。,false,true
13,4,True,True,False,False,False,False,味のあるみそが水にとけているから,false,true
14,4,True,True,False,False,False,False,「みそ」をいれているから。,false,true
15,4,True,True,False,False,False,False,みそにしおがはいっているから,false,true
16,4,True,True,True,False,False,False,えんぶつがおおいものがふくまれているから,false,true
17,4,True,True,True,True,True,False,,false,true
18,4,True,True,True,,True,False,みそのしょっぱさだけがしるにしみこんでいるから。,false,true
19,4,True,True,False,False,True,False,みそがはいってるから,false,true
20,4,True,True,False,False,True,False,みそがはいっているから,false,true
21,4,True,True,False,False,True,False,みそがはいから。,false,true
22,4,True,True,False,False,True,False,みそに塩が入っているから？,false,true
23,4,True,True,True,False,True,False,食塩水をベースで作ったから,false,true
24,4,True,True,False,False,True,False,みそがしょっぱいから。,false,true
25,4,True,True,True,False,True,False,みそが入っていてみそはしょっぱいと思う。,False,True
1,2,True,True,False,False,True,False,みそにしおの成分が、入っているから。,false,true
2,2,True,True,False,False,True,False,塩分がたくさんふくまれているから。,false,true
3,2,True,True,False,False,False,False,みその中に塩が入っているから。,false,true
4,2,True,True,False,False,False,False,食塩がはいはから,true,true
5,2,True,True,True,False,True,False,みそから出た成分がとけてしょっぱくなるっ.,false,true
6,2,True,True,True,False,True,False,みそがとけたから,false,true
7,2,True,True,False,False,True,False,みそしるがとけたから。,false,true
8,2,True,True,False,False,True,False,みそがはいっているから,false,true
9,2,True,True,False,False,True,False,みそが入っているから。,false,true
10,2,True,True,False,False,False,False,,false,true
11,2,True,True,False,False,False,False,みそに塩分がふくまれているから。,false,true
12,2,True,True,False,False,False,False,塩が入っているから。,false,true
13,2,True,True,False,False,True,True,,false,true
14,2,False,True,True,True,True,True,みそのつぶがとけているから,false,true
15,2,True,True,True,True,True,True,みその中にある塩分が水にとけているから,false,true
16,2,True,True,False,True,True,True,みそに塩が入っているから。,false,true
17,2,True,True,False,False,False,True,塩が入っているから,false,true
18,2,True,True,False,False,False,True,みそに塩が入っているから,false,true
19,2,True,True,False,False,False,True,しおがはいっているから,false,true
20,2,True,True,False,False,False,False,,false,true
21,2,True,True,False,False,False,False,みその中に入っている塩が水にとけているから。,false,true
22,2,True,True,False,False,True,False,塩分がまざっているから,true,false
23,2,True,True,False,False,False,False,みその入れすぎ。,false,true
24,2,True,True,False,False,True,True,塩が入っているから。,false,true
25,2,True,True,False,False,False,True,塩が入っているから,true,false
26,2,True,True,False,False,False,True,下に塩がたまるから,,
1,3,True,True,False,False,True,False,みその中に=,false,true
2,3,True,True,False,False,False,True,みそにしおがはいっている,false,true
3,3,True,True,False,False,False,True,みそに塩が入っているから,false,true
4,3,True,True,False,False,True,True,みそが入っているから,true,true
5,3,True,True,False,False,True,True,塩がとかされているから。,false,true
6,3,True,True,False,False,False,True,食塩が含まれているから,false,true
7,3,True,True,False,False,False,True,"塩 がはいっているから とけている
でもあんまりしょっぱくない",false,true
8,3,True,True,False,False,False,True,みそのなかにしょっぱくなるせいぶんがはいっているから,false,true
9,3,True,True,False,False,False,True,みそをつかっていて、しおもつかっているから,false,true
10,3,True,True,False,False,False,True,みそが入っているから,false,true
11,3,True,True,False,False,False,True,,false,true
12,3,True,True,False,False,False,True,みその中に食塩が入っているから,false,true
13,3,True,True,False,False,False,True,みその中に食塩が入っている？,false,true
14,3,True,True,False,True,False,True,塩が入っているから,false,true
15,3,True,True,False,False,True,True,食塩がはいっているから。,false,true
16,3,True,True,False,False,True,True,塩が入っているから,false,true
17,3,True,True,False,False,True,True,みそがはいっているから,false,true
18,3,True,True,False,False,True,True,,false,true
19,3,True,True,False,False,True,True,みそを入れているから,false,true
20,3,True,True,True,False,False,False,みそにこぶがとけてるから,false,true
21,3,True,True,True,False,False,False,塩をとがしてつくっているから,false,true
22,3,True,True,False,False,False,False,塩が入っているから,false,true
23,3,True,True,False,False,False,False,"食塩が入っているから。
みそが入っているから。",false,true
24,3,True,True,False,False,False,False,みそが入っているから,false,true
